	X.home.guest.GoMRI.LBN1S1	X.home.guest.GoMRI.LBN10S10	X.home.guest.GoMRI.LBN2S2	X.home.guest.GoMRI.LBN3S3	X.home.guest.GoMRI.LBN4S4	X.home.guest.GoMRI.LBN5S5	X.home.guest.GoMRI.LBN6S6	X.home.guest.GoMRI.LBN7S7	X.home.guest.GoMRI.LBN8S8	X.home.guest.GoMRI.LBN9S9	X.home.guest.GoMRI.LBO1S11	X.home.guest.GoMRI.LBO10S20	X.home.guest.GoMRI.LBO2S12	X.home.guest.GoMRI.LBO3S13	X.home.guest.GoMRI.LBO4S14	X.home.guest.GoMRI.LBO5S15	X.home.guest.GoMRI.LBO6S16	X.home.guest.GoMRI.LBO7S17	X.home.guest.GoMRI.LBO8S18	X.home.guest.GoMRI.LBO9S19	X.home.guest.GoMRI.LFN1S61	X.home.guest.GoMRI.LFN10S70	X.home.guest.GoMRI.LFN2S62	X.home.guest.GoMRI.LFN3S63	X.home.guest.GoMRI.LFN4S64	X.home.guest.GoMRI.LFN5S65	X.home.guest.GoMRI.LFN6S66	X.home.guest.GoMRI.LFN7S67	X.home.guest.GoMRI.LFN8S68	X.home.guest.GoMRI.LFN9S69	X.home.guest.GoMRI.LFO1S71	X.home.guest.GoMRI.LFO10S80	X.home.guest.GoMRI.LFO2S72	X.home.guest.GoMRI.LFO3S73	X.home.guest.GoMRI.LFO4S74	X.home.guest.GoMRI.LFO5S75	X.home.guest.GoMRI.LFO6S76	X.home.guest.GoMRI.LFO7S77	X.home.guest.GoMRI.LFO8S78	X.home.guest.GoMRI.LFO9S79	X.home.guest.GoMRI.RBN1S21	X.home.guest.GoMRI.RBN10S30	X.home.guest.GoMRI.RBN3S23	X.home.guest.GoMRI.RBN4S24	X.home.guest.GoMRI.RBN5S25	X.home.guest.GoMRI.RBN6S26	X.home.guest.GoMRI.RBN7S27	X.home.guest.GoMRI.RBN8S28	X.home.guest.GoMRI.RBN9S29	X.home.guest.GoMRI.RBO1S31	X.home.guest.GoMRI.RBO10S40	X.home.guest.GoMRI.RBO2S32	X.home.guest.GoMRI.RBO3S33	X.home.guest.GoMRI.RBO4S34	X.home.guest.GoMRI.RBO5S35	X.home.guest.GoMRI.RBO6S36	X.home.guest.GoMRI.RBO7S37	X.home.guest.GoMRI.RBO8S38	X.home.guest.GoMRI.RBO9S39	X.home.guest.GoMRI.RFN1S7	X.home.guest.GoMRI.RFN1S81	X.home.guest.GoMRI.RFN10S90	X.home.guest.GoMRI.RFN2S82	X.home.guest.GoMRI.RFN3S83	X.home.guest.GoMRI.RFN3S9	X.home.guest.GoMRI.RFN4S10	X.home.guest.GoMRI.RFN4S84	X.home.guest.GoMRI.RFN5S11	X.home.guest.GoMRI.RFN5S85	X.home.guest.GoMRI.RFN6S12	X.home.guest.GoMRI.RFN6S86	X.home.guest.GoMRI.RFN7S87	X.home.guest.GoMRI.RFN8S88	X.home.guest.GoMRI.RFN9S89	X.home.guest.GoMRI.RFO1S1	X.home.guest.GoMRI.RFO1S91	X.home.guest.GoMRI.RFO10S4	X.home.guest.GoMRI.RFO2S2	X.home.guest.GoMRI.RFO2S92	X.home.guest.GoMRI.RFO3S3	X.home.guest.GoMRI.RFO3S93	X.home.guest.GoMRI.RFO4S4	X.home.guest.GoMRI.RFO4S94	X.home.guest.GoMRI.RFO5S5	X.home.guest.GoMRI.RFO5S95	X.home.guest.GoMRI.RFO6S6	X.home.guest.GoMRI.RFO6S96	X.home.guest.GoMRI.RFO7S1	X.home.guest.GoMRI.RFO8S2	X.home.guest.GoMRI.RFO9S3	X.home.guest.GoMRI.SBN1S41	X.home.guest.GoMRI.SBN10S50	X.home.guest.GoMRI.SBN2S42	X.home.guest.GoMRI.SBN3S43	X.home.guest.GoMRI.SBN4S44	X.home.guest.GoMRI.SBN5S45	X.home.guest.GoMRI.SBN6S46	X.home.guest.GoMRI.SBN7S47	X.home.guest.GoMRI.SBN8S48	X.home.guest.GoMRI.SBN9S49	X.home.guest.GoMRI.SBO1S51	X.home.guest.GoMRI.SBO10S60	X.home.guest.GoMRI.SBO2S52	X.home.guest.GoMRI.SBO3S53	X.home.guest.GoMRI.SBO4S54	X.home.guest.GoMRI.SBO5S55	X.home.guest.GoMRI.SBO6S56	X.home.guest.GoMRI.SBO7S57	X.home.guest.GoMRI.SBO8S58	X.home.guest.GoMRI.SBO9S59	X.home.guest.GoMRI.SFN1S5	X.home.guest.GoMRI.SFN10S14	X.home.guest.GoMRI.SFN2S6	X.home.guest.GoMRI.SFN3S7	X.home.guest.GoMRI.SFN4S8	X.home.guest.GoMRI.SFN5S9	X.home.guest.GoMRI.SFN6S10	X.home.guest.GoMRI.SFN7S11	X.home.guest.GoMRI.SFN8S12	X.home.guest.GoMRI.SFN9S13	X.home.guest.GoMRI.SFO1S15	X.home.guest.GoMRI.SFO10S24	X.home.guest.GoMRI.SFO2S16	X.home.guest.GoMRI.SFO3S17	X.home.guest.GoMRI.SFO4S18	X.home.guest.GoMRI.SFO5S19	X.home.guest.GoMRI.SFO6S20	X.home.guest.GoMRI.SFO7S21	X.home.guest.GoMRI.SFO8S22	X.home.guest.GoMRI.SFO9S23
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Roseobacter	0	0	0	0	0	0	0	0.003618818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.000677685	6.43E-04	2.81E-03	0.004054723	0.006382663	4.78E-03	0.003661897	0.001687518	0	0	7.55E-04	0.000168852	1.60E-03	3.02E-04	1.57E-04	2.62E-04	3.66E-04	0.000116613	0.00E+00	0	0.00E+00	1.93E-05	6.31E-04	0.00E+00	2.25E-04	2.03E-04	0.000158464	0.00E+00	2.23E-04	0.000940465	8.30E-04	0	0	0	0.00E+00	1.48E-04	1.25E-04	6.05E-04	8.68E-05	4.15E-04	0.037648459	0.035221992	4.90E-02	5.21E-02	0	0.072326196	0.057387919	4.94E-02	0.02996101	4.93E-02	3.28E-02	2.61E-02	0.030872782	1.95E-02	5.64E-02	7.22E-02	7.61E-02	6.91E-02	6.04E-02	4.73E-02	3.38E-02	4.98E-02	3.83E-02	3.41E-02	3.50E-02	2.65E-02	3.79E-02	3.84E-02	3.53E-02	3.96E-02	3.21E-02	3.36E-02	3.14E-02	0.048863459	3.92E-02	3.67E-02	4.20E-02	3.85E-02	4.09E-02	3.24E-02
Bacteria|Bacteroidetes|Ignavibacteria|OPB56|NA|NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000203884	0	4.38E-04	0.001606337	0	4.97E-04	8.36E-04	2.13E-03	0.00E+00	9.75E-04	0.000371633	3.21E-03	6.30E-04	0.004580909	0	4.93E-05	0	0.002967704	0.00039482	0.001084567	1.21E-02	0.005256937	1.63E-02	8.22E-02	1.81E-02	1.21E-02	1.28E-02	0.043869674	3.19E-04	0.015646474	1.95E-02	1.14E-02	9.02E-03	2.74E-02	1.25E-02	8.03E-03	0.00613483	1.64E-02	1.19E-02	0.029481518	1.79E-02	0.015123393	0.007829291	0.007099536	5.01E-03	6.61E-03	4.97E-03	4.39E-03	2.51E-03	1.62E-03	0	0	0.00E+00	0.00E+00	0	0	0	8.20E-05	0	0.00E+00	7.40E-05	0.00E+00	0	0.00E+00	1.65E-04	1.29E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	6.07E-05	1.79E-04	2.19E-04	0.00E+00	5.90E-04	5.05E-05	2.82E-04	2.60E-03	7.53E-04	1.52E-04	2.15E-04	1.14E-04	1.33E-04	6.12324E-05	1.20E-04	1.78E-04	3.48E-04	7.18E-05	4.58E-04	2.66E-04
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfobacterales|Desulfobacteraceae|Desulfatirhabdium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10E-04	0	0	2.76E-04	1.83E-04	0.00E+00	0.00E+00	0.00E+00	0.00360703	2.36E-03	1.26E-02	0.003002352	0	4.03E-04	0.000551062	0	0.002447884	0.004338268	1.74E-02	0.012483818	2.27E-02	1.39E-02	1.76E-03	1.71E-02	6.71E-03	0.006670243	2.93E-03	0.015646474	4.73E-03	2.26E-03	1.84E-02	7.11E-03	5.37E-03	6.82E-03	0.009236202	5.98E-03	6.41E-03	0.012321448	1.38E-02	0.002131024	0.005572613	0.001962183	2.35E-03	2.74E-02	2.92E-02	1.26E-02	9.66E-04	2.19E-03	0.000931508	0.000546683	3.81E-04	4.49E-04	0	0.00019776	0.000320842	2.80E-04	0	4.35E-04	1.16E-03	5.49E-04	0	1.91E-04	1.60E-04	1.79E-04	0.00E+00	2.15E-04	0.00E+00	7.34E-04	2.69E-04	6.22E-04	6.95E-04	3.63E-04	6.03E-04	4.50E-04	7.46E-04	6.99E-04	4.63E-04	3.45E-04	1.21E-03	4.45E-04	4.05E-04	0.000554493	8.04E-04	5.15E-04	7.50E-04	5.41E-04	1.07E-03	6.42E-04
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Boseongicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0	0.00E+00	0	0	0	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0	0.00E+00	0.00E+00	6.45E-05	0.00E+00	0.00E+00	5.65E-05	0	0.00E+00	0.00E+00	0	0.00E+00	0	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.000414004	0.001171463	5.97E-04	7.41E-04	0	0	0	1.37E-04	0.003693823	4.09E-04	2.76E-05	2.33E-04	0.004060744	0.00E+00	3.83E-04	7.94E-05	0.00E+00	2.31E-04	4.34E-04	2.92E-04	8.09E-03	1.62E-02	1.19E-02	6.30E-03	1.02E-02	8.62E-03	1.35E-02	7.82E-03	7.64E-03	8.47E-03	9.41E-03	6.07E-03	1.32E-03	0.003874651	1.08E-02	6.36E-03	7.36E-03	9.19E-03	1.02E-02	7.23E-03
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Rhodospirillaceae|Marispirillum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0.00E+00	1.35E-02	0.00E+00	0.00E+00	3.25E-04	0	0.00E+00	0.00E+00	0	0	5.76E-05	0	0	0	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0.00E+00	0	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.026056356	0.03022375	2.99E-02	2.60E-02	0	0.043489204	0.04511037	2.85E-02	0.06854094	3.20E-02	2.24E-02	2.60E-03	0.027145797	1.64E-02	2.63E-02	4.94E-02	5.10E-02	3.34E-02	3.97E-02	2.09E-02	2.72E-04	4.78E-04	5.19E-04	1.79E-03	2.55E-04	3.30E-04	2.42E-04	5.18E-04	9.89E-04	1.47E-03	3.43E-03	1.90E-04	8.08E-03	0.02407454	2.46E-03	3.04E-03	1.05E-02	2.36E-03	4.06E-04	1.05E-03
Archaea|Euryarchaeota|Methanomicrobia|Methanosarcinales|Methanosarcinaceae|Methanosarcina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00022937	0	1.00E-04	0	0	7.74E-04	5.04E-04	9.64E-05	2.34E-04	0.00E+00	0.00275446	1.00E-02	8.31E-03	0.001547604	0.00012988	2.34E-03	0.001813172	0	0	0.008119596	1.57E-02	0.021207857	3.76E-02	1.84E-02	3.18E-03	6.46E-03	1.87E-02	0.003311799	2.17E-02	0.012052014	1.55E-02	1.38E-02	2.88E-02	3.23E-02	6.66E-03	1.72E-02	0.011047222	5.21E-04	1.95E-03	0.019259078	2.74E-02	0.002955936	0.003791833	0.003424902	3.58E-02	7.51E-03	1.25E-02	2.10E-02	1.35E-02	6.26E-03	0.00395891	0.002889609	3.12E-03	2.97E-03	0	0.001528145	0.003272587	4.57E-03	0	5.21E-03	7.01E-03	1.06E-02	0.003671358	1.43E-02	3.55E-03	1.41E-03	4.86E-04	1.04E-03	7.78E-04	4.11E-03	1.85E-02	6.83E-03	1.22E-02	1.78E-02	1.51E-02	1.74E-02	1.22E-02	1.19E-02	1.58E-02	1.03E-02	1.03E-02	1.49E-02	1.56E-02	0.006851226	8.05E-03	1.09E-02	1.14E-02	8.51E-03	1.17E-02	8.36E-03
Bacteria|Chloroflexi|OLB14|NA|NA|NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0	2.22E-04	0	0	0	0	0.00E+00	0	0.00E+00	3.77E-05	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.39E-05	0	0.00E+00	0.00E+00	0	0.00E+00	0	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.03775196	0.023780702	2.02E-02	1.07E-02	0	0.01684555	0.019656913	1.57E-02	0.047198851	1.73E-02	1.15E-02	5.06E-03	0.013684152	6.37E-03	8.39E-03	3.43E-03	2.81E-03	5.88E-03	1.83E-03	6.28E-03	1.49E-02	2.68E-02	1.97E-02	1.41E-02	2.24E-02	2.46E-02	2.62E-02	1.50E-02	2.13E-02	2.05E-02	2.05E-02	1.11E-02	1.79E-02	0.016753866	1.57E-02	1.10E-02	9.93E-03	1.28E-02	1.22E-02	1.05E-02
Bacteria|Patescibacteria|ABY1|Candidatus_Kuenenbacteria|NA|NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.003694474	1.09E-02	8.34E-03	0.004859478	0.004824106	1.10E-02	0.017367345	0.001745709	0.001223942	0.004338268	1.04E-02	0.002476501	5.47E-02	1.38E-02	1.43E-02	1.29E-02	7.30E-03	0.030879026	3.94E-03	0.001480072	4.50E-03	1.12E-02	1.24E-02	2.50E-02	1.38E-02	1.08E-02	0.002739168	3.21E-03	3.25E-03	0.007469196	6.96E-03	0.011411288	0.027632791	0.004816268	4.81E-03	1.14E-02	1.43E-02	1.74E-02	3.08E-03	3.27E-03	0.015809765	0.012690851	1.42E-02	1.65E-02	0	0.017564677	0.018715777	1.81E-02	0.009644983	1.48E-02	1.79E-02	7.69E-03	0.009456528	1.81E-02	2.52E-02	3.50E-02	2.65E-02	2.11E-02	3.14E-02	1.76E-02	1.78E-03	2.23E-03	2.31E-03	3.95E-03	2.17E-03	1.85E-03	2.41E-03	2.77E-03	1.69E-03	2.53E-03	2.76E-03	1.42E-03	7.20E-03	0.013083324	3.69E-03	8.15E-03	8.13E-03	3.43E-03	2.98E-03	3.08E-03
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Wenxinia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	1.89E-04	1.13E-03	0.000649994	0	5.76E-05	0	0	0	0	8.30E-04	0	4.30E-04	6.68E-04	0.00E+00	1.53E-04	5.06E-04	0.000349838	4.93E-04	0	0.00E+00	0.00E+00	2.15E-04	0.00E+00	2.67E-04	2.32E-04	0	0.00E+00	0.00E+00	0.001362992	1.66E-03	0	0.000260976	0	2.73E-04	5.32E-04	4.32E-04	2.96E-04	1.74E-04	9.72E-05	0.005382048	0.004373463	6.58E-03	3.46E-03	0	0.004566456	0.005860712	7.90E-03	0.00943977	8.10E-03	5.59E-03	1.65E-02	0.001780052	1.05E-02	3.08E-03	8.54E-04	0.00E+00	1.30E-03	0.00E+00	4.05E-03	1.87E-02	1.57E-02	1.44E-02	1.79E-02	2.04E-02	2.11E-02	1.64E-02	1.35E-02	1.94E-02	1.35E-02	1.74E-02	1.75E-02	1.04E-02	0.009235888	1.35E-02	1.37E-02	1.32E-02	1.65E-02	9.71E-03	1.04E-02
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Natranaerovirga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0	7.40E-05	0	0	0	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.000528597	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	2.74E-04	1.18E-04	0	5.85E-05	0	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.001242011	0.004100121	1.39E-03	4.45E-03	0	0.00079104	0	6.97E-04	0.00430946	8.61E-04	4.32E-04	7.83E-04	0.022584413	1.91E-04	1.29E-03	4.37E-04	1.21E-04	5.72E-04	6.33E-04	1.67E-03	1.27E-02	1.54E-02	1.39E-02	9.71E-03	1.09E-02	9.74E-03	1.34E-02	8.98E-03	6.92E-03	1.10E-02	1.20E-02	9.82E-03	2.17E-03	0.003738579	1.18E-02	1.12E-02	1.20E-02	1.05E-02	1.37E-02	1.40E-02
Bacteria|Proteobacteria|Alphaproteobacteria|Elsterales|NA|NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0	0.00E+00	0	0	0	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0.000163559	0.00E+00	0	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.000828007	0	8.45E-04	6.52E-04	0	0.000161804	0.0004064	2.57E-04	0	1.96E-04	1.97E-04	2.35E-03	0.003560105	3.81E-04	8.70E-04	9.13E-04	7.64E-04	1.42E-03	5.07E-04	1.78E-03	1.51E-02	1.86E-02	1.28E-02	6.85E-03	1.30E-02	1.06E-02	1.85E-02	1.24E-02	9.15E-03	9.68E-03	1.00E-02	9.96E-03	1.94E-03	0.003340568	1.08E-02	9.30E-03	7.31E-03	1.26E-02	9.37E-03	9.72E-03
Bacteria|Chloroflexi|Dehalococcoidia|661239|NA|NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0	0.00E+00	0	0	0	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0.00E+00	0	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0	0.00E+00	6.36E-05	0	0	0	0.00E+00	0	0.00E+00	3.34E-05	0.00E+00	0	0.00E+00	1.25E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.91E-03	1.32E-02	8.61E-03	5.58E-03	8.65E-03	3.54E-03	1.08E-02	1.03E-02	8.69E-03	1.04E-02	8.41E-03	4.21E-03	7.75E-04	0.001449167	8.72E-03	4.63E-03	4.66E-03	1.40E-02	1.11E-02	8.49E-03
Bacteria|Cyanobacteria|Oxyphotobacteria|Synechococcales|Cyanobiaceae|Synechococcus_CC9902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	2.49E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	2.06E-03	1.11E-03	0.005540423	0	0.00E+00	0.000711048	0.00832121	0	0.00055694	9.72E-04	0.013361851	2.38E-04	1.40E-04	1.48E-03	3.40E-03	0.00E+00	0.001702545	4.02E-04	0.022835395	1.14E-02	1.08E-03	3.38E-03	1.78E-03	1.53E-03	1.69E-03	0.001358265	1.92E-04	3.28E-04	0.019409007	9.67E-03	0.005911872	0.005787535	0.000356761	4.55E-04	3.71E-04	5.57E-04	2.48E-02	1.02E-03	1.86E-01	0	0	4.01E-03	5.97E-04	0	0.005375474	0.000641684	2.58E-03	0	8.09E-04	3.59E-03	3.39E-02	0	1.96E-02	2.21E-03	6.55E-04	0.00E+00	0.00E+00	1.27E-04	1.54E-03	3.04E-04	3.75E-04	7.55E-04	4.49E-04	5.41E-04	2.71E-04	1.41E-04	1.10E-03	2.35E-04	1.16E-03	2.28E-04	8.62E-04	2.19E-04	4.76252E-05	5.68E-04	2.42E-04	1.06E-03	6.63E-05	3.68E-03	1.08E-03
Bacteria|Chloroflexi|KD4-96|NA|NA|NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0.00E+00	2.29E-04	0.00E+00	0.00E+00	0.00E+00	0	3.50E-04	1.97E-03	0.00015476	0.005028203	6.91E-04	0.000213314	0.00616817	0	0.000410377	0.00E+00	0.000664153	2.20E-04	2.48E-03	1.05E-03	5.89E-04	1.04E-03	0.000209903	5.38E-04	0.001268633	1.07E-03	5.60E-04	6.10E-04	2.38E-04	1.29E-03	1.48E-03	0.001199801	0.00E+00	1.70E-04	0.000681496	1.06E-03	0.000412456	0.000598711	0	0.00E+00	1.01E-03	6.59E-04	1.64E-04	1.95E-04	5.83E-04	0.002691024	0.003045804	2.83E-03	3.96E-03	0	0.002894486	0.001689767	1.63E-03	0	1.85E-03	2.37E-03	3.83E-04	0.001001279	5.72E-04	2.09E-03	3.32E-03	1.75E-03	3.39E-03	1.99E-03	5.69E-03	3.48E-03	1.14E-02	1.58E-02	7.40E-03	6.52E-03	4.25E-03	7.78E-03	8.90E-03	9.51E-03	1.35E-02	8.41E-03	6.94E-03	2.55E-03	0.003711364	1.14E-02	6.67E-03	1.20E-02	1.26E-02	1.80E-02	1.77E-02
Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Nitrincolaceae|Marinobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	2.70E-04	0.000495233	0.000352531	0.00E+00	0.000195538	0.000349142	0.000631712	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0.00E+00	0	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0	0.00E+00	0.00E+00	0	0	0	1.32E-04	0	8.52E-05	6.53E-05	0.00E+00	0	0.00E+00	3.72E-05	0.00E+00	0.00E+00	1.05E-04	2.89E-04	1.50E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Ruegeria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.007629416	1.06E-02	1.27E-03	0.000278569	0.030874276	7.89E-04	0.014238734	0.005586267	0.005566962	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0.00E+00	0	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0	0.00E+00	0.00E+00	0	0	0	2.05E-05	0	1.87E-04	0.00E+00	0.00E+00	0	0.00E+00	4.79E-05	1.19E-04	0.00E+00	1.52E-04	0.00E+00	2.62E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
Bacteria|Verrucomicrobia|Verrucomicrobiae|Opitutales|Puniceicoccaceae|Verruc-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000586167	0	0.00E+00	0.000470823	0	0.00E+00	2.36E-03	2.00E-03	2.77E-04	6.63E-04	0	0.00E+00	2.36E-04	0	0	0.00E+00	0	0	0	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.11E-04	0.00E+00	0	0.00E+00	0.00E+00	0	0.00E+00	0	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.004579916	0.001405756	1.97E-03	1.89E-03	0	0.00206749	0.001818104	3.18E-03	0	4.29E-03	4.99E-03	2.08E-03	0	4.02E-04	6.33E-04	1.02E-03	2.52E-03	1.93E-03	1.09E-03	3.60E-03	7.84E-03	1.16E-02	1.08E-02	6.63E-03	7.53E-03	6.15E-03	1.16E-02	7.83E-03	5.45E-03	6.93E-03	1.05E-02	4.99E-03	1.65E-03	0.003752186	9.79E-03	7.16E-03	7.05E-03	1.33E-02	1.35E-02	7.76E-03
